id,make,model,year,vin,country,owner,currentgaslevel,dailyrate
83,Honda,Insight,2001,1C3BCBGG7CN110537,PT,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,12.7,$129.04
84,Jaguar,S-Type,2006,5NPEB4AC4BH399128,GR,-1E02,8.72,$195.25
85,Oldsmobile,Aurora,2003,WBA3D5C54EF921290,FR,⁰⁴⁵,15.0,$197.03
86,Nissan,Maxima,1999,1N6AA0EC7EN388761,PE,1E+02,1.66,$48.16
87,Honda,Fit,2012,5GAKRBKD5DJ008087,PH,1/2,20.32,$66.14
88,Nissan,Frontier,2009,3GYEK63N03G791554,CN,⁰⁴⁵,18.03,$204.81
89,Toyota,Celica,1997,WAUDFAFC3DN993667,BR,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,18.37,$103.31
90,Ford,Expedition,2006,1FTEX1E86AF508216,EG,!@#$%^&*(),3.56,$45.76
91,Mercedes-Benz,CLS-Class,2008,1G6YX36D585888904,PL,᠎,24.5,$71.23
92,Aptera,2e,2009,WA1LGAFEXDD973414,TT,部落格,22.88,$227.33
93,Mazda,CX-7,2010,1C4NJPBA5CD587312,RS,הָיְתָהtestالصفحات التّحول,2.62,$235.05
94,Toyota,Yaris,2010,19UUA66258A604824,ID,ÅÍÎÏ˝ÓÔÒÚÆ☃,21.52,$218.78
95,Mazda,626,1986,2G61R5S33F9565844,CN,Ω≈ç√∫˜µ≤≥÷,12.23,$29.80
96,Chevrolet,G-Series G10,1995,JN8AZ1FY5EW017379,CN,⁰⁴⁵₀₁₂,4.29,$111.35
97,Acura,TL,2002,3GYFNFEY2BS879049,ID,・(￣∀￣)・:*:,8.48,$136.97
98,Audi,90,1991,2G61P5S30D9242449,CZ,₀₁₂,8.5,$75.64
99,Mercury,Mariner,2006,3VW4T7AT7DM200190,MA,１２３,20.1,$84.97
100,Ford,F-Series,1996,1GYS4HEF6ER892633,BR,⁰⁴⁵,6.12,$59.65
101,Subaru,Forester,2001,SALAF2D4XAA021762,ID,"__ﾛ(,_,*)",2.12,$172.10
102,Dodge,Ram 2500,2003,4USDU53437L577268,CN,🐵 🙈 🙉 🙊,10.63,$234.84
103,Suzuki,XL7,2007,1N6AF0LX5FN122843,GY,パーティーへ行かないか,11.41,$159.09
104,Ford,F350,2012,WVGAV7AX0CW957834,SE,1,5.2,$132.59
105,GMC,Savana 3500,2010,WDDHH8HB1BA463106,ID,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,1.56,$180.30
106,Dodge,Ram 1500,2001,1FMCU0C78CK822749,TZ,₀₁₂,8.07,$44.00
107,Porsche,928,1995,5GTMNGEE5A8633587,PE,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,7.48,$146.37
108,Hyundai,Sonata,2013,JM1NC2JF8E0584604,US,-1E2,17.11,$225.05
109,Audi,A8,2012,1C4SDJET2CC829337,NG,0.00,10.89,$208.45
110,Chevrolet,Sportvan G30,1993,WAU3FAFR1DA152292,ID,-1/2,22.52,$43.17
111,BMW,X5,2003,1G6DW67V780549777,JP,¸˛Ç◊ı˜Â¯˘¿,15.37,$223.01
112,Isuzu,Rodeo,1997,3GYT4LEF3BG173441,ZM,nil,20.08,$243.68
113,Lexus,SC,1992,JM3TB2CV6F0511173,CM,1/0,8.1,$134.04
114,Ford,Crown Victoria,1997,KMHHT6KD2AU118568,CN,<img src=x onerror=alert('hi') />,14.33,$104.07
115,Nissan,Maxima,2003,5XYKT3A60EG349794,CN,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,19.88,$106.93
116,Pontiac,Sunbird,1992,3N1AB6AP7CL520011,BG,',17.15,$57.29
117,Chrysler,Town & Country,1994,WAUVC58E05A637818,CN,œ∑´®†¥¨ˆøπ“‘,14.34,$31.76
118,Volkswagen,rio,1995,WAUDH74F27N860980,RU,NULL,16.93,$45.34
119,Honda,Civic,2011,3C4PDCBB5FT283025,PL,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,12.38,$134.37
120,Land Rover,Range Rover Sport,2009,WBABW534X5P373013,CO,<img src=x onerror=alert('hi') />,18.09,$60.87
121,Pontiac,GTO,1968,WAUXL58E15A155769,CN,␢,4.2,$51.30
122,Mitsubishi,Eclipse,1995,KL4CJHSBXFB047745,CN,1;DROP TABLE users,17.61,$186.53
123,Porsche,Cayman,2010,WAUNE78P48A175890,BI,<script>alert('hi')</script>,16.84,$211.34
124,Volkswagen,Routan,2010,WAUHF98P28A473053,VN,😍,22.4,$184.68
125,Chrysler,Town & Country,2001,SALCP2BG5FH919672,PH,0/0,14.69,$207.91
126,Buick,Electra,1988,5N1AN0NU9DN262685,FR,/dev/null; touch /tmp/blns.fail ; echo,10.83,$44.80
127,Ford,Expedition,1999,WAUUL78E86A120517,TH,1/0,11.96,$55.89
128,Suzuki,Daewoo Lacetti,2007,19UUA66285A423602,FI,1/0,7.38,$214.07
129,GMC,Safari,1994,1G6AX5S31F0636474,PK,｀ｨ(´∀｀∩,19.34,$81.82
130,Volvo,V50,2005,2LMDJ6JK1DB775378,RU,Œ„´‰ˇÁ¨ˆØ∏”’,25.87,$211.67
131,Ford,Expedition EL,2009,SAJWA2GT3EM951555,ID,﻿,10.13,$132.83
132,Cadillac,Escalade EXT,2006,5FRYD4H42GB107146,NG,-$1.00,12.76,$182.94
133,Jeep,Grand Cherokee,2010,19UUB3F50FA610081,BR,/dev/null; touch /tmp/blns.fail ; echo,7.68,$45.18
134,BMW,X3,2010,2C3CCARG1FH213137,RU,​,14.04,$82.42
135,Toyota,RAV4,1999,2G4GU5EV2C9872111,RU,() { 0; }; touch /tmp/blns.shellshock1.fail;,15.69,$22.15
136,Dodge,Durango,2001,JM1DE1KY9E0569450,YE,-1E02,19.46,$35.23
137,Bentley,Continental,2009,WBALM53519E643217,CZ,'',1.41,$62.91
138,Chevrolet,Colorado,2005,1G6AH5RXXD0709845,PL,`⁄€‹›ﬁﬂ‡°·‚—±,8.19,$31.22
139,Mazda,B-Series,1999,1G6KS54Y04U599161,ZM,NIL,7.46,$51.18
140,Subaru,XT,1990,JTMHY7AJXA5327182,CN,NIL,5.6,$141.85
141,Lexus,RX,2013,WBAVM1C56FV212319,MX,-1,16.61,$123.06
142,Nissan,Titan,2007,3D4PH1FG9BT344601,CN,1E+02,20.44,$192.72
143,Mitsubishi,Pajero,1992,3C63D3CL7CG720363,SE,../../../../../../../../../../../etc/passwd%00,2.09,$39.81
144,Dodge,Ram 1500 Club,1998,KMHCT4AE6FU941682,PH,ヽ༼ຈل͜ຈ༽ﾉ ヽ༼ຈل͜ຈ༽ﾉ ,3.59,$139.70
145,Saturn,Aura,2009,4T3BA3BB2FU900487,PH,̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,1.71,$163.01
146,Mazda,B-Series,1991,WA1AY74L78D208840,CN,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",5.35,$60.52
147,Ford,Galaxie,1964,WAUMF98P06A463472,US,1/2,15.75,$45.71
148,Cadillac,Escalade ESV,2003,WDBWK5EAXAF887428,BR,-1.00,10.25,$136.11
149,Mitsubishi,Montero,1998,5UXKR2C55E0622066,AR,パーティーへ行かないか,5.03,$83.79
150,Suzuki,SX4,2008,3N1BC1CP8CK643517,UG,・(￣∀￣)・:*:,6.04,$246.72
151,Mazda,Navajo,1992,WBAGL63515D552474,JP,̡͓̞ͅI̗̘̦͝n͇͇͙v̮̫ok̲̫̙͈i̖͙̭̹̠̞n̡̻̮̣̺g̲͈͙̭͙̬͎ ̰t͔̦h̞̲e̢̤ ͍̬̲͖f̴̘͕̣è͖ẹ̥̩l͖͔͚i͓͚̦͠n͖͍̗͓̳̮g͍ ̨o͚̪͡f̘̣̬ ̖̘͖̟͙̮c҉͔̫͖͓͇͖ͅh̵̤̣͚͔á̗̼͕ͅo̼̣̥s̱͈̺̖̦̻͢.̛̖̞̠̫̰,4.93,$33.50
152,Land Rover,LR2,2010,WAUHFAFL1FN481863,CN,・(￣∀￣)・:*:,18.13,$150.40
153,Mercedes-Benz,SLK-Class,1999,TRUUT28N521403799,MG,-1.00,16.28,$152.43
154,Mercury,Cougar,2000,1G4HR54KX24506833,YE,-1E2,24.68,$84.35
155,GMC,Sonoma Club Coupe,1995,3D7TT2CT3AG378693,CZ,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,12.47,$230.75
156,Acura,NSX,2002,WAUBVAFA8AN961012,PH,"""""",23.6,$178.85
157,Ford,F250,1998,SAJWA4FB8CL461197,CN,-1E2,10.84,$133.54
158,Ford,Escort,1993,5GNRNGEE5A8694290,UA,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,16.37,$192.32
159,Scion,xB,2010,1G6DK8EG3A0444512,PL,울란바토르,22.2,$128.64
160,Chrysler,Aspen,2009,WA1YL64B55N123158,CN,1'; DROP TABLE users--,18.42,$170.28
161,Mitsubishi,Pajero,1987,WAUGL68E25A882439,IR,,5.2,$162.25
162,Buick,LeSabre,1990,1G4GA5GC7AF745007,PH,1E+02,21.91,$161.04
163,Nissan,Frontier,2004,WAUMFAFR1FA511955,HR,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,15.77,$185.33
164,Dodge,Viper,1996,WAULF78K29N292046,PH,00˙Ɩ$-,1.16,$105.98
165,GMC,Savana 2500,1998,ML32A3HJ3FH898496,HU,"__ﾛ(,_,*)",17.47,$97.31
166,Dodge,Ram,2009,WBAPH5C58AA644771,SE,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,19.58,$36.70
167,Nissan,300ZX,1992,2G4WB55K141148756,CN,"""''''""'""",0.12,$51.95
168,Ford,Ranger,1994,3N1CN7AP0DL491765,CN,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,4.97,$30.45
169,Suzuki,Grand Vitara,2000,YV1902FH6D2932336,CZ,❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,19.11,$205.31
170,Chevrolet,Express 3500,2009,TRURD38J691237633,PL,␣,4.83,$89.03
171,Dodge,Ram 3500 Club,1995,SALME1D41BA925415,TZ,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",23.3,$194.48
172,Subaru,Legacy,2003,4T1BD1FK2CU197984,RU,1/2,16.43,$104.65
173,BMW,3 Series,1994,1N4AB7AP8DN278498,TH,<script>alert('hi')</script>,22.87,$96.43
174,Toyota,Tundra,2003,2G4WB52K321526688,AM,​,0.59,$197.03
175,Eagle,Summit,1996,1G6DL1E36D0116703,PK,‪‪test‪,4.26,$108.56
176,Dodge,Viper,1997,1GYEE437390003568,ID,1'; DROP TABLE users--,15.13,$168.89
177,Honda,CR-Z,2012,1N6AA0ED0FN354882,CN,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,24.26,$109.36
178,Hyundai,Elantra,2010,WA1CMAFE1AD346038,EG,"""'""'""''''""",1.08,$81.98
179,Toyota,Echo,2004,5UMCN93402L497243,ID, ,1.27,$70.21
180,Toyota,Camry,2011,JH4CL959X6C957130,FR,åß∂ƒ©˙∆˚¬…æ,12.83,$224.76
181,Ford,Transit Connect,2012,JTDKN3DU7A0815936,SE,１２３,12.3,$228.63
182,Toyota,Camry,2010,KNDJT2A22D7288558,ZM,👩🏽,10.27,$208.75
183,Kia,Sportage,2001,WA1LMAFE8CD111042,AZ,⁰⁴⁵,16.87,$225.18
184,Land Rover,Range Rover Sport,2010,2G4GS5EVXC9705520,JP,⁰⁴⁵₀₁₂,9.92,$189.16
185,Pontiac,Grand Prix,1974,3D4PG4FB0BT482682,PH,-1/2,22.44,$234.65
186,Toyota,Venza,2011,WAUFGBFC6EN078146,CN,`⁄€‹›ﬁﬂ‡°·‚—±,5.61,$230.17
187,Mercedes-Benz,SLR McLaren,2006,JM1GJ1T66F1505156,CY,Ω≈ç√∫˜µ≤≥÷,15.33,$111.76
188,Acura,NSX,1996,WVWAB7AJ8CW114697,AF,-$1.00,3.26,$186.75
189,Suzuki,Daewoo Lacetti,2008,5N1AT2ML9EC217799,CF,-$1.00,6.46,$89.62
190,Volvo,S80,2009,3D73Y3CL4AG625520,BR,0/0,5.27,$53.71
191,Chevrolet,Astro,1994,JN8AZ2KR8BT520888,CN,👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,13.04,$224.75
192,Mercury,Sable,1986,JTDKDTB34D1305099,RU,田中さんにあげて下さい,7.47,$150.28
193,Dodge,Dakota,2009,5J8TB3H70GL743052,AR,(╯°□°）╯︵ ┻━┻)  ,6.43,$229.53
194,Lincoln,Mark VII,1992,JN8AZ1MU9AW948736,ID,✋🏿 💪🏿 👐🏿 🙌🏿 👏🏿 🙏🏿,0.62,$38.38
195,Volvo,XC90,2004,WDDHF2EB7DA120634,ID,0.00,6.13,$89.53
196,Nissan,Versa,2009,WBAEV53432K066436,JP,"""''''""'""",19.0,$202.46
197,Nissan,NV2500,2012,WAUDH48H29K187669,AR,(╯°□°）╯︵ ┻━┻)  ,9.79,$222.04
198,Chevrolet,Suburban 1500,2007,JHMGE8G23AC711809,AR,1E02,7.16,$61.76
199,GMC,Sierra 1500,2000,1D7CE2BKXAS431045,JP, test ,25.49,$215.21
200,Chevrolet,Express 1500,2006,WAUFGAFB4BN159062,MV,⁰⁴⁵,22.84,$130.32
201,Chrysler,PT Cruiser,2001,5NPDH4AE6DH455956,PL,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,14.93,$195.59
